Kab/Kota,IPM_2024,RLS_2024,P0_2024,D1_SPBE,D2_SPBE,D3_SPBE,D4_SPBE,Cluster
Tapanuli Utara,75.23,10.31,8.21,2.8,2.3,1.73,3.57,0
Tapin,72.51,8.15,3.33,3.6,3.5,2.18,4.63,2
Tarakan,77.96,10.37,5.56,2.7,2.7,1.73,3.95,2
Tasikmalaya,68.36,7.97,10.23,4.4,3.1,1,4.94,2
Kota Tasikmalaya,75.04,9.63,11.1,3.9,3.7,2.73,4.58,2
Tebing Tinggi,77.45,10.87,8.79,3.9,3.9,2.27,4.25,2
Tebo,71.32,8.04,6.12,2.9,1.7,1,3.63,0
Tegal,70.77,7.36,6.81,3.4,2.3,2.18,3.92,0
Kota Tegal,77.43,9.28,7.64,5,3.7,2.82,4.2,2
Teluk Bintuni,66.75,8.67,26.99,3.0734,1.6765,1.0914,3.4578,0
Teluk Wondama,62.36,7.38,28.47,3.5,1.6,1,3.04,1
Temanggung,71.87,7.53,8.67,3.8,3.1,2.09,4.46,2
Ternate,82.12,12.08,3.14,1.8,1,1,2.74,0
Tidore Kepulauan,72.91,10.12,6.56,3,1.3,1,3.17,0
Timor Tengah Selatan,64.36,7.21,24.68,2.8,2.2,1.09,3.82,0
Timor Tengah Utara,65.83,8.17,20.89,2.5,1.4,1,3.5,0
Toba Samosir,76.91,10.77,8.07,2.8,2.5,1.91,3.63,0
Tojo Una-Una,66.97,8.56,16.36,4.4,1.9,1.27,3.96,0
Tolikara,52.05,3.69,31.22,1,1,1,2.04,1
Toli-Toli,68.37,8.91,12.45,3,1.9,1.09,3.16,0
Tomohon,78.89,11.03,5.38,3.8,2.3,1,3.95,0
Toraja Utara,71.85,8.54,10.73,2,1.1,1.09,3.49,0
Trenggalek,72.24,7.92,10.5,4.8,3.8,2.91,4.76,2
Tual,70.21,10.67,20.01,2.8,1,1,3.29,0
Tuban,71.23,7.53,14.36,4.7,3.9,2.64,4.87,2
Tulang Bawang Barat,68.46,7.8,7.22,2.6,2.1,1.45,3.05,0
Tulangbawang,70.66,7.65,7.88,3.7,2.1,1,3.69,0
Tulungagung,75.09,8.68,6.28,3.5,3.7,1.91,4.58,2
Wajo,71.52,7.46,6.47,2.9,2,1,3.81,0
Wakatobi,72.02,8.53,14.36,3,1.4,1,3.62,0
Waropen,66.92,9.42,29.85,2.4899,1.5166,1.0881,3.1522,0
Way Kanan,69.31,7.75,10.43,3.3,3.3,2.91,3.93,2
Wonogiri,72.55,7.68,10.71,5,4.3,2.73,4.45,2
Wonosobo,69.82,6.9,15.28,3.7,3,2.55,4.7,2
Yahukimo,51.98,4.35,33.82,1.6525,1.0831,1.0028,2.0078,1
Yalimo,51.85,3.55,30.02,1.3194,1.0428,1.002,1.9915,1
Yogyakarta,88.77,12.12,6.26,4,3,1.64,4.31,2
